location,image_url,description_url,gov_report_url,artifact_image_url
Azad Park and Dekho Prayagraj Trail Exp,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/+Azad+Park+and+Dekho+Prayagraj+Trail+Exp.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Azad+Park+and+Dekho+Prayagraj+Trail+Exp.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR73ed48d8-c63e-46ea-b58c-8315288a213d.pdf,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Azad+Park+and+Dekho+Prayagraj+Trail+Exp.png
Bhongir Fort Experiential Zone,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Bhongir+Fort+Experiential+Zone.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Bhongir+Fort+Experiential+Zone.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR2db39090-fc01-443a-86f4-afc7e4cb41dd.pdf,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Bhongir+Fort+Experiential+Zone.png
Border Tourism Experience at Attari,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Border+Tourism+Experience+at+Attari.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Border+Tourism+Experience+at+Attari.md,,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Border+Tourism+Experience+at+Attari.png
Borra Cave Experience at Araku,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Borra+Cave+Experience+at+Araku.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Borra+Cave+Experience+at+Araku.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR328189bb-12ad-47aa-8915-c19f5242ddc0.pdf,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Borra+Cave+Experience+at+Araku.png
Colva Beach Experience,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Colva+Beach+Experience.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Colva+Beach+Experience.md,,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Colva+Beach+Experience.png
